COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM_FRQ_ALW
13013,0.063,0.086,0.092,0.19,0.568,0.758
13015,0.215,0.05,0.123,0.143,0.47,0.613
13017,0.129,0.078,0.109,0.202,0.483,0.685
13019,0.073,0.098,0.156,0.214,0.46,0.674
13021,0.043,0.094,0.176,0.201,0.487,0.688
13023,0.089,0.031,0.117,0.256,0.508,0.764
13025,0.047,0.129,0.15,0.164,0.51,0.674
13027,0.092,0.165,0.124,0.235,0.385,0.62
13029,0.033,0.039,0.095,0.238,0.595,0.833
13031,0.053,0.049,0.163,0.31,0.424,0.734
13033,0.105,0.109,0.087,0.208,0.492,0.7
13035,0.125,0.037,0.144,0.163,0.53,0.693
13037,0.013,0.035,0.043,0.172,0.737,0.909
13039,0.136,0.125,0.17,0.113,0.456,0.569
13043,0.037,0.045,0.177,0.264,0.477,0.741
13045,0.089,0.133,0.154,0.168,0.457,0.625
13047,0.143,0.152,0.114,0.217,0.375,0.592
13049,0.065,0.094,0.15,0.196,0.495,0.691
13051,0.035,0.04,0.144,0.158,0.624,0.782
13053,0.061,0.072,0.108,0.214,0.545,0.759
13055,0.116,0.102,0.187,0.143,0.451,0.594
13057,0.049,0.054,0.1,0.213,0.584,0.797
13059,0.054,0.057,0.06,0.226,0.603,0.829
13061,0.028,0.066,0.12,0.223,0.562,0.785
13063,0.038,0.054,0.125,0.159,0.624,0.783
13065,0.06,0.058,0.134,0.168,0.58,0.748
13067,0.039,0.049,0.116,0.225,0.572,0.797
13069,0.085,0.124,0.164,0.222,0.404,0.626
13071,0.108,0.191,0.074,0.233,0.394,0.627
13073,0.061,0.064,0.095,0.234,0.547,0.781
13075,0.098,0.134,0.123,0.203,0.441,0.644
13077,0.105,0.053,0.183,0.204,0.455,0.659
13079,0.057,0.051,0.231,0.192,0.468,0.66
13081,0.119,0.023,0.06,0.163,0.635,0.798
13083,0.128,0.222,0.13,0.249,0.27,0.519
13085,0.049,0.09,0.128,0.162,0.571,0.733
13087,0.093,0.04,0.171,0.18,0.516,0.696
13089,0.036,0.028,0.075,0.156,0.704,0.86
13091,0.145,0.025,0.15,0.236,0.443,0.679
13093,0.077,0.034,0.058,0.204,0.627,0.831
13095,0.033,0.037,0.045,0.159,0.726,0.885
13097,0.083,0.037,0.09,0.198,0.591,0.789
13099,0.045,0.062,0.156,0.253,0.485,0.738
13101,0.097,0.073,0.182,0.202,0.446,0.648
13103,0.044,0.064,0.145,0.272,0.475,0.747
13105,0.132,0.177,0.081,0.107,0.503,0.61
13107,0.062,0.044,0.142,0.252,0.5,0.752
13109,0.03,0.078,0.229,0.29,0.372,0.662
13111,0.075,0.088,0.125,0.112,0.6,0.712
13113,0.06,0.086,0.131,0.218,0.505,0.723
13115,0.186,0.036,0.234,0.148,0.395,0.543
13117,0.035,0.048,0.083,0.193,0.641,0.834
13119,0.168,0.074,0.117,0.215,0.425,0.64
13121,0.026,0.036,0.089,0.187,0.662,0.849
13123,0.128,0.042,0.087,0.198,0.545,0.743
13125,0.156,0.066,0.107,0.13,0.541,0.671
13127,0.048,0.071,0.145,0.251,0.485,0.736
13129,0.172,0.1,0.201,0.157,0.369,0.526
13131,0.063,0.139,0.116,0.264,0.417,0.681
13133,0.062,0.046,0.057,0.176,0.658,0.834
13135,0.036,0.054,0.081,0.19,0.639,0.829
13137,0.063,0.1,0.116,0.292,0.43,0.722
13139,0.061,0.069,0.128,0.198,0.545,0.743
13141,0.043,0.111,0.102,0.168,0.575,0.743
13143,0.184,0.123,0.165,0.184,0.345,0.529
13145,0.093,0.081,0.061,0.213,0.551,0.764
13147,0.092,0.061,0.14,0.207,0.5,0.707
13149,0.126,0.094,0.166,0.144,0.471,0.615
13151,0.103,0.048,0.091,0.181,0.578,0.759
13153,0.032,0.079,0.136,0.172,0.581,0.753
13155,0.098,0.091,0.126,0.224,0.46,0.684
13157,0.125,0.085,0.117,0.24,0.434,0.674
13159,0.082,0.059,0.181,0.118,0.56,0.678
13161,0.124,0.138,0.165,0.183,0.39,0.573
13163,0.251,0.055,0.099,0.102,0.493,0.595
13165,0.114,0.053,0.084,0.261,0.488,0.749
13167,0.119,0.053,0.109,0.251,0.468,0.719
13169,0.049,0.087,0.226,0.209,0.43,0.639
13171,0.07,0.06,0.171,0.293,0.406,0.699
13173,0.102,0.07,0.145,0.181,0.502,0.683
13175,0.122,0.056,0.141,0.291,0.391,0.682
13177,0.035,0.033,0.039,0.162,0.732,0.894
13179,0.007,0.099,0.066,0.215,0.614,0.829
13181,0.073,0.104,0.111,0.233,0.479,0.712
13183,0.014,0.119,0.086,0.159,0.621,0.78
13185,0.108,0.101,0.149,0.208,0.435,0.643
13187,0.035,0.086,0.13,0.245,0.504,0.749
13189,0.072,0.053,0.123,0.265,0.488,0.753
13191,0.034,0.076,0.188,0.221,0.481,0.702
13193,0.078,0.049,0.113,0.21,0.55,0.76
13195,0.165,0.084,0.055,0.186,0.511,0.697
13197,0.084,0.12,0.167,0.196,0.433,0.629
13199,0.109,0.086,0.138,0.15,0.517,0.667
13201,0.064,0.056,0.182,0.159,0.539,0.698
13205,0.044,0.112,0.055,0.159,0.63,0.789
13207,0.072,0.035,0.184,0.253,0.455,0.708
13209,0.114,0.083,0.174,0.228,0.401,0.629
13211,0.061,0.064,0.093,0.168,0.614,0.782
13213,0.193,0.03,0.182,0.177,0.417,0.594
13215,0.063,0.073,0.083,0.225,0.555,0.78
13217,0.094,0.076,0.123,0.207,0.5,0.707
13219,0.049,0.063,0.095,0.181,0.611,0.792
13221,0.056,0.082,0.054,0.181,0.627,0.808
13223,0.097,0.068,0.108,0.233,0.494,0.727
13225,0.027,0.074,0.172,0.16,0.567,0.727
13227,0.038,0.118,0.101,0.188,0.555,0.743
13229,0.05,0.143,0.127,0.157,0.522,0.679
13231,0.059,0.06,0.147,0.192,0.542,0.734
13233,0.106,0.071,0.192,0.145,0.485,0.63
13235,0.079,0.031,0.098,0.218,0.575,0.793
13237,0.059,0.093,0.118,0.214,0.516,0.73
13239,0.053,0.15,0.095,0.163,0.538,0.701
13241,0.1,0.083,0.124,0.229,0.464,0.693
13243,0.016,0.065,0.05,0.2,0.669,0.869
13245,0.068,0.059,0.114,0.18,0.578,0.758
13247,0.058,0.078,0.115,0.216,0.534,0.75
13249,0.07,0.102,0.117,0.214,0.497,0.711
