Distribution_of_claims,Census
137974,CENSUS2010POP
38124,CENSUS2010POP
68894,CENSUS2010POP
14244,CENSUS2010POP
47536,CENSUS2010POP
6128,CENSUS2010POP
19840,CENSUS2010POP
21575,CENSUS2010POP
17339,CENSUS2010POP
19338,CENSUS2010POP
12845,CENSUS2010POP
164343,CENSUS2010POP
25910,CENSUS2010POP
13402,CENSUS2010POP
37963,CENSUS2010POP
26171,CENSUS2010POP
28818,CENSUS2010POP
17392,CENSUS2010POP
266931,CENSUS2010POP
24181,CENSUS2010POP
44436,CENSUS2010POP
20952,CENSUS2010POP
23363,CENSUS2010POP
34185,CENSUS2010POP
21475,CENSUS2010POP
10613,CENSUS2010POP
172780,CENSUS2010POP
15936,CENSUS2010POP
7516,CENSUS2010POP
179703,CENSUS2010POP
16212,CENSUS2010POP
107848,CENSUS2010POP
32888,CENSUS2010POP
8508,CENSUS2010POP
59689,CENSUS2010POP
28262,CENSUS2010POP
68917,CENSUS2010POP
27636,CENSUS2010POP
24643,CENSUS2010POP
33292,CENSUS2010POP
3046355,CENSUS2010POP
7682,CENSUS2010POP
4029,CENSUS2010POP
14330,CENSUS2010POP
12887,CENSUS2010POP
6119,CENSUS2010POP
26076,CENSUS2010POP
131090,CENSUS2010POP
26306,CENSUS2010POP
24276,CENSUS2010POP
20958,CENSUS2010POP
20260,CENSUS2010POP
14867,CENSUS2010POP
9670,CENSUS2010POP
20816,CENSUS2010POP
13956,CENSUS2010POP
18499,CENSUS2010POP
44151,CENSUS2010POP
12072,CENSUS2010POP
12439,CENSUS2010POP
9286,CENSUS2010POP
16667,CENSUS2010POP
18129,CENSUS2010POP
49116,CENSUS2010POP
17096,CENSUS2010POP
66135,CENSUS2010POP
8753,CENSUS2010POP
8457,CENSUS2010POP
17764,CENSUS2010POP
40325,CENSUS2010POP
16667,CENSUS2010POP
93653,CENSUS2010POP
10302,CENSUS2010POP
20880,CENSUS2010POP
16303,CENSUS2010POP
10680,CENSUS2010POP
7441,CENSUS2010POP
9336,CENSUS2010POP
12453,CENSUS2010POP
10954,CENSUS2010POP
15673,CENSUS2010POP
11341,CENSUS2010POP
17534,CENSUS2010POP
14928,CENSUS2010POP
20145,CENSUS2010POP
9566,CENSUS2010POP
9815,CENSUS2010POP
7089,CENSUS2010POP
16355,CENSUS2010POP
19848,CENSUS2010POP
36842,CENSUS2010POP
16843,CENSUS2010POP
130882,CENSUS2010POP
20638,CENSUS2010POP
10511,CENSUS2010POP
15543,CENSUS2010POP
35862,CENSUS2010POP
211226,CENSUS2010POP
11387,CENSUS2010POP
8898,CENSUS2010POP
11581,CENSUS2010POP
15679,CENSUS2010POP
22381,CENSUS2010POP
33309,CENSUS2010POP
40648,CENSUS2010POP
15059,CENSUS2010POP
10776,CENSUS2010POP
9243,CENSUS2010POP
7970,CENSUS2010POP
10740,CENSUS2010POP
42745,CENSUS2010POP
14398,CENSUS2010POP
6462,CENSUS2010POP
15932,CENSUS2010POP
9421,CENSUS2010POP
24986,CENSUS2010POP
7310,CENSUS2010POP
430640,CENSUS2010POP
93158,CENSUS2010POP
18914,CENSUS2010POP
