CENSUS2010POP ,LOCATION
"69,676",".Barrow County, Georgia"
"100,050",".Bartow County, Georgia"
"17,645",".Ben Hill County, Georgia"
"19,361",".Berrien County, Georgia"
"155,814",".Bibb County, Georgia"
"13,036",".Bleckley County, Georgia"
"18,479",".Brantley County, Georgia"
"16,246",".Brooks County, Georgia"
"30,377",".Bryan County, Georgia"
"70,559",".Bulloch County, Georgia"
"23,336",".Burke County, Georgia"
"23,786",".Butts County, Georgia"
"6,697",".Calhoun County, Georgia"
"50,661",".Camden County, Georgia"
"11,025",".Candler County, Georgia"
"110,655",".Carroll County, Georgia"
"64,069",".Catoosa County, Georgia"
"12,853",".Charlton County, Georgia"
"265,799",".Chatham County, Georgia"
"11,182",".Chattahoochee County, Georgia"
"25,959",".Chattooga County, Georgia"
"215,197",".Cherokee County, Georgia"
"117,403",".Clarke County, Georgia"
"3,177",".Clay County, Georgia"
"259,877",".Clayton County, Georgia"
"6,764",".Clinch County, Georgia"
"689,495",".Cobb County, Georgia"
"42,728",".Coffee County, Georgia"
"45,634",".Colquitt County, Georgia"
"124,955",".Columbia County, Georgia"
"17,185",".Cook County, Georgia"
"127,937",".Coweta County, Georgia"
"12,587",".Crawford County, Georgia"
"23,433",".Crisp County, Georgia"
"16,630",".Dade County, Georgia"
"22,328",".Dawson County, Georgia"
"27,817",".Decatur County, Georgia"
"692,443",".DeKalb County, Georgia"
"21,761",".Dodge County, Georgia"
"14,854",".Dooly County, Georgia"
"94,513",".Dougherty County, Georgia"
"132,573",".Douglas County, Georgia"
"10,983",".Early County, Georgia"
"4,015",".Echols County, Georgia"
"52,464",".Effingham County, Georgia"
"20,100",".Elbert County, Georgia"
"22,607",".Emanuel County, Georgia"
"11,021",".Evans County, Georgia"
"23,685",".Fannin County, Georgia"
"106,938",".Fayette County, Georgia"
"96,431",".Floyd County, Georgia"
"176,723",".Forsyth County, Georgia"
"22,074",".Franklin County, Georgia"
"925,632",".Fulton County, Georgia"
"28,339",".Gilmer County, Georgia"
"3,079",".Glascock County, Georgia"
"79,744",".Glynn County, Georgia"
"55,257",".Gordon County, Georgia"
"25,021",".Grady County, Georgia"
"15,976",".Greene County, Georgia"
"808,007",".Gwinnett County, Georgia"
"43,061",".Habersham County, Georgia"
"180,033",".Hall County, Georgia"
"9,433",".Hancock County, Georgia"
"28,758",".Haralson County, Georgia"
"32,149",".Harris County, Georgia"
"25,240",".Hart County, Georgia"
"11,841",".Heard County, Georgia"
"205,039",".Henry County, Georgia"
"140,651",".Houston County, Georgia"
"9,577",".Irwin County, Georgia"
"60,696",".Jackson County, Georgia"
"13,889",".Jasper County, Georgia"
"15,111",".Jeff Davis County, Georgia"
"16,869",".Jefferson County, Georgia"
